Accession	Title	Links	Status	Release Date	Created	Updated	Submission	BioSample.name	BioSample.organism_name
SAMN29453328	310_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.360Z	2022-10-25T09:19:16.280Z	SUB11601558	AGL2067	Severe acute respiratory syndrome coronavirus 2
SAMN29453326	309_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.343Z	2022-10-25T09:19:16.260Z	SUB11601558	AGL2105	Severe acute respiratory syndrome coronavirus 2
SAMN29453325	309_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.333Z	2022-10-25T09:19:16.226Z	SUB11601558	AGL2041	Severe acute respiratory syndrome coronavirus 2
SAMN29453323	308_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.310Z	2022-10-25T09:19:16.210Z	SUB11601558	AGL1949	Severe acute respiratory syndrome coronavirus 2
SAMN29453319	307_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.273Z	2022-10-25T09:19:16.193Z	SUB11601558	AGL2097	Severe acute respiratory syndrome coronavirus 2
SAMN29453315	306_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.210Z	2022-10-25T09:19:16.176Z	SUB11601558	AGL1915	Severe acute respiratory syndrome coronavirus 2
SAMN29453314	305_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.200Z	2022-10-25T09:19:16.160Z	SUB11601558	AGL2068	Severe acute respiratory syndrome coronavirus 2
SAMN29453310	304_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.163Z	2022-10-25T09:19:16.146Z	SUB11601558	AGL1885	Severe acute respiratory syndrome coronavirus 2
SAMN29453304	302_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.110Z	2022-10-25T09:19:16.130Z	SUB11601558	AGL1695	Severe acute respiratory syndrome coronavirus 2
SAMN29453303	302_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.100Z	2022-10-25T09:19:16.113Z	SUB11601558	AGL1851	Severe acute respiratory syndrome coronavirus 2
